year_almanac,year_stats_end,dioceses,missionary_jurisdictions,bishops,bishops_elect,priests_and_deacons,clergy_all,parishes,ordination_deacons,ordination_priests,candidates_for_orders,churches_consecrated,baptisms_infants,baptisms_adults,baptisms_undefined,confirmations,communicants_added,communicants_reported,communicants_present,marriages,burials,sunday_school_teachers,sunday_school_scholars,offerings,source_url
1852,1851,29,,35,,1597,1632,,,,164,46,15052,3294,,6332,,,98655,3930,6858,5113,42932,367512.97,http://hdl.handle.net/2027/njp.32101063843039?urlappend=%3Bseq=46
1853,1852,30,,32,,1610,1642,,,,152,41,11056,1989,1464,7517,,,98857,3304,6109,5252,44562,29199.73,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=40
1854,1853,31,,37,,1672,1709,,,,129,50,15767,2859,2110,8634,,,98358,5840,97608,7805,63411,566065.94,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=92
1855,1854,30,,39,,1723,1762,,,,213,53,18162,3271,827,8798,,,102749,6484,11549,9734,64304,633841.23,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=157
1856,1855,,,,,,,,,,,,,,,,,,,,,,,,
1857,1856,32,,39,,1836,1875,1903,79,86,208,,20048,3635,938,11463,11463,,116735,6881,13048,10453,86353,1181012.11,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=258
1858,1857,31,,39,,1902,1941,1931,96,57,114,61,22857,3543,275,11337,12042,,116295,6945,12032,11234,93868,1273479.91,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=312
1859,1858,31,,39,,1979,2018,1995,109,69,233,57,25666,6007,563,17514,14822,,127953,6774,12431,13452,109551,1265642.96,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=365
1860,1859,33,,43,,2030,2073,2110,78,98,281,69,24415,5121,487,14596,11794,,135767,7059,12442,14091,118069,1627183.12,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=417
1861,1860,33,,43,,2113,2156,2128,102,83,292,78,26518,5247,1572,14781,15186,,146588,7356,12989,115598,135925,1870914.98,http://hdl.handle.net/2027/hvd.hn1ps4?urlappend=%3Bseq=470
1862,1861,,,,,,,,,,,,,,,,,,,,,,,,
1863,1862,,,,,,,,,,,,,,,,,,,,,,,,
1864,1863,,,,,,,,,,,,,,,,,,,,,,,,
1865,1864,,,,,,,,,,,,,,,,,,`,,,,,,
1866,1865,,,,,,,,,,,,,,,,,,,,,,,,
1867,1866,,,,,,,,,,,,,,,,,,,,,,,,
1868,1867,,,,,,,,,,,,,,,,,,,,,,,,
1869,1868,,,,,,,,,,,,,,,,,,,,,,,,
1870,1869,38,,51,1,2711,2762,2512,115,85,208,47,20749,5030,3760,20793,7136,176686,200000,7647,12475,18644,135975,4205029.41,http://hdl.handle.net/2027/hvd.hn1ps5?urlappend=%3Bseq=644
1871,1870,,,,,,,,,,,,,,,,,,,,,,,,
1872,1871,41,9,53,,2847,2900,2700,108,109,416,83,30649,7021,1371,23252,,,232354,10202,18171,24268,221200,5015493.06,http://hdl.handle.net/2027/njp.32101063843039?urlappend=%3Bseq=451
1873,1872,41,9,51,,2938,2989,2700,133,80,317,52,25889,6050,4269,36409,,224585,235000,10120,18223,23405,214651,6187250.89,http://hdl.handle.net/2027/uiug.30112063713660?urlappend=%3Bseq=108
1874,1873,41,9,52,,3043,3095,2700,147,113,340,66,27535,6345,5924,23515,,254857,260000,10800,20859,23790,223112,7316149.44,http://hdl.handle.net/2027/njp.32101063843039?urlappend=%3Bseq=576
1875,1874,42,13,50,5,3085,3140,2750,127,102,203,54,30480,7495,3436,26888,,273554,,10713,20331,23007,225733,685198327,http://hdl.handle.net/2027/hvd.hn1ps7?urlappend=%3Bseq=89
1876,1875,45,10,57,5,3130,3187,2800,101,114,322,43,28659,6236,3518,22503,,265357,280000,9708,18969,23340,218400,6690575.48,http://hdl.handle.net/2027/hvd.hn1ps7?urlappend=%3Bseq=191
1877,1876,45,13,59,2,3192,3251,2800,111,103,251,53,29938,7559,3634,25594,,284835,286000,9125,19598,24894,235509,6804448.29,http://hdl.handle.net/2027/hvd.hn1ps7?urlappend=%3Bseq=294
1878,1877,48,13,61,1,3211,3272,2900,136,127,276,53,31799,8866,4719,46233,,302069,,9668,21025,28569,266261,6457208.62,http://hdl.handle.net/2027/hvd.hn1ps7?urlappend=%3Bseq=468
1879,1878,48,13,63,,3267,3300,2900,93,100,229,46,28883,6699,6085,25190,,312718,,8670,18045,28365,265555,5788266.28,http://hdl.handle.net/2027/wu.89077083293?urlappend=%3Bseq=759
1880,1879,,,,,,,,,,,,,,,,,,,,,,,,
1881,1880,,,,,,,,,,,,,,,,,,,,,,,,
1882,1881,,,,,,,,,,,,,,,,,,,,,,,,
1883,1882,,,,,,,,,,,,,,,,,,,,,,,,
1884,1883,,,,,,,,,,,,,,,,,,,,,,,,
1885,1884,,,,,,,,,,,,,,,,,,,,,,,,
1886,1885,,,,,,,,,,,,,,,,,,,,,,,,
1887,1886,,,,,,,,,,,,,,,,,,,,,,,,
1888,1887,,,,,,,,,,,,,,,,,,,,,,,,
1889,1888,,,,,,,,,,,,,,,,,,,,,,,,
1890,1889,,,,,,,,,,,,,,,,,,,,,,,,
1891,1890,,,,,,,,,,,,,,,,,,,,,,,,
1892,1891,,,,,,,,,,,,,,,,,,,,,,,,
1893,1892,,,,,,,,,,,,,,,,,,,,,,,,
1894,1893,,,,,,,,,,,,,,,,,,,,,,,,
1895,1894,,,,,,,,,,,,,,,,,,,,,,,,
1896,1895,,,,,,,,,,,,,,,,,,,,,,,,
1897,1896,,,,,,,,,,,,,,,,,,,,,,,,
1898,1897,,,,,,,,,,,,,,,,,,,,,,,,
1899,1898,,,,,,,,,,,,,,,,,,,,,,,,
1900,1899,,,,,,,,,,,,,,,,,,,,,,,,
1901,1900,,,,,,,,,,,,,,,,,,,,,,,,
1902,1901,,,,,,,,,,,,,,,,,,,,,,,,
1903,1902,,,,,,,,,,,,,,,,,,,,,,,,
1904,1903,,,,,,,,,,,,,,,,,,,,,,,,
1905,1904,,,,,,,,,,,,,,,,,,,,,,,,
1906,1905,,,,,,,,,,,,,,,,,,,,,,,,
1907,1906,,,,,,,,,,,,,,,,,,,,,,,,
1908,1907,,,,,,,,,,,,,,,,,,,,,,,,
1909,1908,,,,,,,,,,,,,,,,,,,,,,,,
1910,1909,,,,,,,,,,,,,,,,,,,,,,,,
1911,1910,,,,,,,,,,,,,,,,,,,,,,,,
1912,1911,,,,,,,,,,,,,,,,,,,,,,,,
1913,1912,,,,,,,,,,,,,,,,,,,,,,,,
1914,1913,,,,,,,,,,,,,,,,,,,,,,,,
1915,1914,,,,,,,,,,,,,,,,,,,,,,,,
1916,1915,,,,,,,,,,,,,,,,,,,,,,,,
1917,1916,,,,,,,,,,,,,,,,,,,,,,,,
1918,1917,,,,,,,,,,,,,,,,,,,,,,,,
1919,1918,,,,,,,,,,,,,,,,,,,,,,,,
1920,1919,,,,,,,,,,,,,,,,,,,,,,,,
1921,1920,,,,,,,,,,,,,,,,,,,,,,,,